year,broadband_type,category,scope,label,value,unit
2023,FBB,Demo,Age group,60+,6.3,%
2023,FBB,Demo,Employment,Employed,63.7,%
2023,FBB,Demo,Employment,Self-employed,19.6,%
2023,FBB,Demo,Employment,Unemployed,6.8,%
2023,FBB,Demo,Employment,Pensioner,5.5,%
2023,FBB,Demo,Employment,Full-time student,4.4,%
2023,FBB,Demo,Income,"Below RM4,850",43.5,%
2023,FBB,Demo,Income,"RM4,850-RM10,959",37.7,%
2023,FBB,Demo,Income,"Above RM10,959",18.8,%
2023,FBB,Demo,Ethnicity,Malay,48.4,%
2023,FBB,Demo,Ethnicity,Chinese,35.5,%
2023,FBB,Demo,Ethnicity,Indian,9.9,%
2023,FBB,Demo,Ethnicity,Bumiputra Sabah/Sarawak,3.8,%
2023,FBB,Demo,Ethnicity,Others,2.4,%
2023,MBB,Demo,Gender,Male,69.9,%
2023,MBB,Demo,Gender,Female,30.1,%
2023,MBB,Demo,Location,Urban,75.2,%
2023,MBB,Demo,Location,Rural,24.8,%
2023,MBB,Demo,Age group,Under 20,4.9,%
2023,MBB,Demo,Age group,20s,30.9,%
2023,MBB,Demo,Age group,30s,33.4,%
2023,MBB,Demo,Age group,40s,19.5,%
2023,MBB,Demo,Age group,50s,8.0,%
2023,MBB,Demo,Age group,60+,3.3,%
2023,MBB,Demo,Employment,Employed,59.3,%
2023,MBB,Demo,Employment,Self-employed,17.6,%
2023,MBB,Demo,Employment,Unemployed,11.2,%
2023,MBB,Demo,Employment,Full-time student,8.5,%
2023,MBB,Demo,Employment,Pensioner,2.4,%
2023,MBB,Demo,Income,"Below RM4,850",67.2,%
2023,MBB,Demo,Income,"RM4,850-RM10,959",25.3,%
2023,MBB,Demo,Income,"Above RM10,959",7.5,%
2023,MBB,Demo,Ethnicity,Malay,67.0,%
2023,MBB,Demo,Ethnicity,Chinese,15.3,%
2023,MBB,Demo,Ethnicity,Bumiputra Sabah/Sarawak,7.8,%
2023,MBB,Demo,Ethnicity,Indian,5.7,%
2023,MBB,Demo,Ethnicity,Others,4.2,%
2024,FBB,Demo,Gender,Male,72.9,%
2024,FBB,Demo,Gender,Female,27.1,%
2024,FBB,Demo,Location,Urban,85.0,%
2024,FBB,Demo,Location,Rural,15.0,%
2024,FBB,Demo,Age group,Under 20,0.3,%
2024,FBB,Demo,Age group,20s,19.2,%
2024,FBB,Demo,Age group,30s,40.6,%
2024,FBB,Demo,Age group,40s,24.9,%
2024,FBB,Demo,Age group,50s,10.8,%
2024,FBB,Demo,Age group,60+,4.3,%
2024,FBB,Demo,Employment,Employed,65.6,%
2024,FBB,Demo,Employment,Self-employed,20.1,%
2024,FBB,Demo,Employment,Unemployed,6.9,%
2024,FBB,Demo,Employment,Pensioner,3.7,%
2024,FBB,Demo,Employment,Full-time student,2.4,%
2024,FBB,Demo,Income,"Below RM4,850",36.6,%
2024,FBB,Demo,Income,"RM4,850-RM10,959",38.2,%
2024,FBB,Demo,Income,"Above RM10,959",25.2,%
2024,FBB,Demo,Ethnicity,Malay,55.5,%
2024,FBB,Demo,Ethnicity,Chinese,32.6,%
2024,FBB,Demo,Ethnicity,Indian,7.1,%
2024,FBB,Demo,Ethnicity,Bumiputra Sabah/Sarawak,3.0,%
2024,MBB,Demo,Gender,Male,64.6,%
2024,MBB,Demo,Gender,Female,35.4,%
2024,MBB,Demo,Location,Urban,70.1,%
2024,MBB,Demo,Location,Rural,29.9,%
2024,MBB,Demo,Age group,Under 20,3.9,%
2024,MBB,Demo,Age group,20s,34.9,%
2024,MBB,Demo,Age group,30s,29.2,%
2024,MBB,Demo,Age group,40s,18.2,%
2024,MBB,Demo,Age group,50s,8.8,%
2024,MBB,Demo,Age group,60+,5.0,%
2024,MBB,Demo,Employment,Employed,55.8,%
2024,MBB,Demo,Employment,Self-employed,19.1,%
2024,MBB,Demo,Employment,Unemployed,11.6,%
2024,MBB,Demo,Employment,Full-time student,10.0,%
2024,MBB,Demo,Employment,Pensioner,3.6,%
2024,MBB,Demo,Income,"Below RM4,850",66.5,%
2024,MBB,Demo,Income,"RM4,850-RM10,959",24.7,%
2024,MBB,Demo,Income,"Above RM10,959",8.8,%
2024,MBB,Demo,Ethnicity,Malay,73.1,%
2024,MBB,Demo,Ethnicity,Chinese,12.5,%
2024,MBB,Demo,Ethnicity,Indian,4.6,%
2024,MBB,Demo,Ethnicity,Bumiputra Sabah/Sarawak,8.1,%
